T,      V_pz, nP_dtc, I_pd, P_dtc,  dP_dtc, tag
24.000, 26.039, 625,  10.0, 2.485e-6,     3e-9, 1
24.001, 26.039, 473,  50.0, 35.46e-6,     4e-9, 1
24.000, 26.039, 295,  60.0, 45.65e-6,     4e-9, 1
24.002, 26.039, 339,  70.0, 56.48e-6, 0.005e-6, 1
24.000, 26.079, 427,  80.0, 68.97e-6,     1e-9, 1
24.000, 26.093, 300,  90.0, 6.232e-3,     2e-6, 1
24.000, 26.226, 335, 100.0, 12.11e-3,     1e-6, 1
24.000, 26.278, 260, 110.0, 18.18e-3,     5e-6, 1
24.000, 26.296, 542, 120.0, 21.31e-3,     5e-6, 1
24.000, 26.305, 382, 130.0, 25.38e-3,     4e-6, 1
24.000, 26.314, 657, 140.1, 29.97e-3,     1e-6, 1
24.000, 26.323, 434, 150.1, 33.41e-3,     3e-6, 1
24.000, 26.323, 336, 160.1, 26.62e-3, 0.005e-3, 1
24.000, 26.340, 573,  71.0, 57.66e-6, 0.005e-6, 2 
24.000, 26.340,  95,  72.0, 58.85e-6, 0.005e-6, 2
24.000, 26.340, 168,  73.0, 60.06e-6, 0.005e-6, 2
24.000, 26.340, 376,  74.0, 61.28e-6,   1.3e-9, 2
24.000, 26.340, 395,  75.0, 62.51e-6,     2e-9, 2
24.000, 26.340, 499,  76.0, 63.77e-6,     3e-9, 2
24.000, 26.340, 293,  77.0, 65.05e-6,   1.6e-9, 2
24.000, 26.340, 293,  78.0, 66.33e-6, 0.005e-9, 2
24.000, 26.340, 154,  79.0, 67.65e-6,   0.7e-9, 2
24.000, 26.340, 192,  81.0, 70.35e-6, 0.005e-6, 2
24.000, 26.332, 290,  82.0, 71.81e-6,   0.7e-9, 2
24.000, 26.332, 525,  83.0, 74.10e-6,    17e-9, 2
24.000, 26.340, 230,  84.0, 1.724e-3,   2.4e-6, 2
24.000, 26.340, 282,  85.0, 2.709e-3,     1e-6, 2
24.000, 26.340, 207,  86.0, 3.520e-3,   0.8e-6, 2
24.000, 26.340, 340,  87.0, 3.437e-3,    80e-6, 2
24.000, 26.340, 147,  88.0, 4.419e-3,   700e-9, 2
24.000, 26.332, 271,  89.0, 5.360e-3,     6e-9, 2
24.000, 26.323, 253,  91.0, 7.068e-3,     5e-9, 2
24.000, 26.323, 148,  92.0, 7.801e-3,     5e-9, 2
24.000, 26.340, 185,  83.2, 75.05e-6,    20e-9, 3
24.000, 26.340, 242,  83.4, 76.09e-6,    50e-9, 3
24.000, 26.340, 230,  83.6, 76.28e-6,    40e-9, 3
24.000, 26.340, 284,  83.8, 78.87e.6,    30e-9, 3